# lon,lat decimated Natural Earth 110m coastline (public domain)
154.729,-5.901
154.514,-5.139
176.886,-40.066
176.508,-40.605
176.012,-41.29
175.24,-41.688
174.651,-41.282
175.228,-40.459
174.9,-39.909
173.824,-39.509
174.575,-38.798
174.743,-38.028
174.292,-36.711
173.841,-36.122
173.054,-35.237
172.636,-34.529
173.551,-35.006
174.329,-35.265
174.612,-36.156
175.337,-37.209
175.809,-36.799
175.958,-37.555
176.763,-37.881
177.439,-37.961
178.01,-37.58
178.275,-38.583
177.97,-39.166
177.207,-39.146
177.033,-39.88
169.668,-43.555
170.525,-43.032
171.125,-42.513
171.57,-41.767
172.097,-40.956
172.799,-40.494
173.247,-41.332
173.958,-40.927
174.249,-41.77
173.876,-42.233
173.223,-42.97
172.711,-43.372
173.08,-43.853
172.309,-43.866
171.453,-44.242
171.185,-44.897
170.617,-45.909
169.831,-46.356
169.332,-46.641
168.411,-46.62
167.764,-46.29
166.677,-46.22
167.046,-45.111
168.304,-44.124
168.949,-43.936
169.668,-43.555
147.689,-40.808
148.36,-42.062
147.914,-43.212
146.87,-43.635
146.048,-43.55
145.432,-42.694
145.295,-42.034
144.718,-41.163
145.398,-40.793
146.364,-41.138
147.689,-40.808
126.149,-32.216
125.089,-32.729
124.222,-32.959
123.66,-33.89
122.811,-33.914
121.299,-33.821
120.58,-33.93
119.299,-34.509
118.506,-34.747
118.025,-35.065
117.296,-35.025
115.564,-34.386
115.049,-33.623
115.715,-33.26
115.802,-32.205
115.161,-30.602
115.04,-29.461
114.642,-28.81
114.174,-28.118
114.049,-27.335
113.477,-26.543
113.441,-25.621
113.937,-25.911
113.721,-24.999
113.394,-24.385
113.707,-23.56
113.737,-22.475
114.15,-21.756
114.225,-22.517
114.648,-21.83
115.46,-21.495
115.947,-21.069
116.712,-20.702
117.442,-20.747
118.23,-20.374
118.988,-20.044
119.805,-19.977
120.856,-19.684
121.4,-19.24
121.655,-18.705
122.242,-18.198
122.313,-17.255
123.013,-16.405
123.434,-17.269
123.817,-16.111
124.38,-15.567
124.926,-15.075
125.67,-14.51
126.143,-14.096
127.066,-13.818
127.805,-14.277
128.36,-14.869
129.621,-14.97
129.41,-14.421
129.889,-13.619
130.184,-13.108
130.618,-12.536
131.223,-12.184
132.575,-12.114
131.825,-11.274
133.02,-11.376
133.551,-11.787
134.393,-12.042
135.298,-12.249
135.883,-11.962
136.952,-12.352
136.685,-12.887
136.305,-13.291
135.784,-14.224
135.429,-14.715
136.295,-15.55
137.065,-15.871
137.58,-16.215
138.303,-16.808
139.109,-17.063
140.215,-17.711
140.875,-17.369
141.274,-16.389
141.702,-15.045
141.636,-14.27
141.651,-12.945
141.929,-11.877
142.144,-11.043
142.797,-11.157
143.116,-11.906
143.522,-12.834
143.562,-13.764
143.922,-14.548
144.564,-14.171
144.895,-14.594
145.375,-14.985
145.485,-16.286
145.889,-16.907
146.16,-17.762
146.387,-18.958
147.471,-19.481
148.178,-19.956
148.848,-20.391
149.289,-21.261
149.678,-22.343
150.483,-22.556
150.9,-23.462
151.609,-24.076
152.074,-24.458
152.855,-25.268
153.136,-26.071
153.093,-27.26
153.569,-28.11
153.512,-28.995
153.069,-30.35
152.892,-31.64
152.45,-32.55
151.709,-33.041
151.344,-33.816
151.011,-34.31
150.714,-35.173
150.328,-35.672
150.075,-36.42
149.946,-37.109
149.424,-37.773
148.305,-37.809
147.382,-38.219
146.922,-38.607
146.318,-39.036
145.49,-38.594
144.877,-38.417
143.61,-38.809
142.745,-38.538
141.607,-38.309
140.639,-38.019
139.992,-37.403
139.807,-36.644
139.083,-35.733
138.121,-35.612
138.449,-35.127
138.208,-34.385
137.719,-35.077
136.829,-35.261
137.352,-34.707
137.89,-33.64
137.81,-32.9
136.997,-33.753
136.372,-34.095
135.989,-34.89
135.208,-34.479
134.613,-33.223
134.086,-32.848
132.991,-32.011
131.326,-31.496
129.536,-31.59
128.241,-31.948
127.103,-32.282
126.149,-32.216
81.788,7.523
81.637,6.482
80.348,5.968
79.872,6.763
79.695,8.201
80.148,9.824
80.839,9.268
81.304,8.564
81.788,7.523
129.371,-2.802
130.471,-3.094
130.835,-3.858
129.991,-3.446
129.155,-3.363
127.899,-3.393
128.136,-2.844
129.371,-2.802
126.875,-3.791
126.184,-3.607
127.001,-3.129
126.875,-3.791
127.932,2.175
128.595,1.541
128.636,0.258
127.968,-0.252
128.38,-0.78
127.696,-0.267
127.399,1.012
127.601,1.811
122.928,0.875
124.078,0.917
125.066,1.643
124.437,0.428
123.686,0.236
122.723,0.431
121.057,0.381
120.183,0.237
120.041,-0.52
120.936,-1.409
121.476,-0.956
123.341,-0.616
122.823,-0.931
122.389,-1.517
121.508,-1.904
122.455,-3.186
123.171,-4.684
122.629,-5.635
122.72,-4.464
121.738,-4.851
121.619,-4.188
120.898,-3.602
120.972,-2.628
120.305,-2.932
120.39,-4.098
120.431,-5.528
119.797,-5.673
119.654,-4.459
119.499,-3.494
118.768,-2.802
119.181,-2.147
119.323,-1.353
119.826,0.154
120.886,1.309
121.667,1.014
122.928,0.875
120.295,-10.259
118.968,-9.558
119.9,-9.361
120.426,-9.666
120.716,-10.24
121.342,-8.537
122.904,-8.094
121.254,-8.934
119.924,-8.81
120.715,-8.237
121.342,-8.537
118.261,-8.362
119.127,-8.706
117.97,-8.907
117.278,-9.041
117.084,-8.457
117.9,-8.096
108.487,-6.422
110.539,-6.877
112.615,-6.946
112.979,-7.594
114.479,-7.777
115.706,-8.371
114.565,-8.752
113.465,-8.349
112.56,-8.376
111.522,-8.302
110.586,-8.123
109.428,-7.741
108.694,-7.642
106.454,-7.355
105.365,-6.851
106.052,-5.896
107.265,-5.955
108.072,-6.346
104.37,-1.085
104.539,-1.782
104.888,-2.34
105.622,-2.429
106.109,-3.062
105.857,-4.306
105.818,-5.852
104.71,-5.873
103.868,-5.037
102.584,-4.22
102.156,-3.614
101.399,-2.8
100.903,-2.05
100.142,-0.65
99.264,0.183
98.97,1.043
98.601,1.824
97.7,2.453
97.177,3.309
96.424,3.869
95.381,4.971
95.937,5.44
97.485,5.246
98.369,4.268
99.143,3.59
99.694,3.174
100.641,2.099
101.658,2.084
102.498,1.399
103.077,0.561
103.838,0.105
103.438,-0.712
104.011,-1.059
120.834,12.704
120.323,13.466
121.18,13.43
121.262,12.206
120.834,12.704
122.586,9.981
122.947,10.882
123.338,10.267
124.078,11.233
123.982,10.279
123.31,9.318
122.38,9.713
126.377,8.415
126.479,7.75
126.197,6.274
125.831,7.294
125.364,6.786
125.683,6.05
125.397,5.581
124.22,6.161
123.939,6.885
124.244,7.361
123.61,7.834
122.826,7.457
122.085,6.899
122.312,8.035
122.942,8.316
123.488,8.693
123.841,8.24
124.601,8.514
125.471,8.987
125.412,9.76
126.223,9.286
126.377,8.415
109.475,18.198
108.655,18.508
108.626,19.368
109.119,19.821
110.212,20.101
111.01,19.696
110.571,19.256
110.339,18.678
109.475,18.198
121.778,24.394
121.176,22.791
120.747,21.971
120.22,22.815
120.106,23.556
120.695,24.538
121.495,25.295
121.951,24.998
121.778,24.394
141.885,39.181
140.959,38.174
140.976,37.142
140.6,36.344
140.253,35.138
138.976,34.668
137.218,34.606
135.793,33.465
135.121,33.849
135.079,34.597
133.34,34.376
132.157,33.905
130.986,33.886
132.0,33.15
131.333,31.45
130.686,31.03
130.202,31.418
130.448,32.319
129.815,32.61
129.408,33.296
130.354,33.604
130.878,34.233
131.884,34.75
132.618,35.433
134.608,35.732
135.678,35.527
136.724,37.305
137.391,36.827
138.858,37.827
139.426,38.216
140.055,39.439
139.883,40.563
140.306,41.195
141.369,41.379
141.914,39.992
141.885,39.181
144.613,43.961
145.321,44.385
145.543,43.262
144.06,42.988
143.184,41.995
141.611,42.679
141.067,41.585
139.955,41.57
139.818,42.564
140.312,43.333
141.381,43.389
141.672,44.772
141.968,45.551
143.143,44.51
143.91,44.174
144.613,43.961
8.71,40.9
9.21,41.21
9.81,40.5
9.67,39.177
8.807,38.907
8.388,40.378
8.16,40.95
8.746,42.628
9.39,43.01
9.56,42.153
9.23,41.38
8.544,42.257
12.371,56.111
12.69,55.61
12.09,54.8
11.044,55.365
12.371,56.111
-4.211,58.551
-3.005,58.635
-4.074,57.553
-3.055,57.69
-1.959,57.685
-2.22,56.87
-3.119,55.974
-2.085,55.91
-1.115,54.625
-0.43,54.464
0.185,53.325
1.682,52.74
1.56,52.1
1.051,51.807
1.45,51.289
0.55,50.766
-0.788,50.775
-2.49,50.5
-3.617,50.228
-4.543,50.342
-5.245,49.96
-4.31,51.21
-3.415,51.426
-4.984,51.593
-4.222,52.301
-4.77,52.84
-4.58,53.495
-3.092,53.404
-3.63,54.615
-4.844,54.791
-4.719,55.508
-5.586,55.311
-5.645,56.275
-6.15,56.785
-5.787,57.819
-5.01,58.63
-4.211,58.551
-14.509,66.456
-14.74,65.809
-13.61,65.127
-14.91,64.364
-17.794,63.679
-18.656,63.496
-19.973,63.644
-22.763,63.96
-21.778,64.402
-23.955,64.891
-22.184,65.085
-24.326,65.611
-23.651,66.263
-22.135,66.41
-20.576,65.732
-19.057,66.277
-17.799,65.994
-16.168,66.527
-14.509,66.456
142.915,53.705
143.261,52.741
143.235,51.757
143.648,50.748
144.654,48.976
143.174,49.307
142.559,47.862
143.533,46.837
142.748,46.741
142.092,45.967
141.907,46.806
142.018,47.78
141.904,48.859
142.136,49.615
142.18,50.952
141.594,51.935
141.683,53.302
142.607,53.762
142.21,54.225
142.915,53.705
118.505,9.316
117.174,8.367
117.664,9.067
118.387,9.684
118.987,10.376
119.511,11.37
119.69,10.554
119.029,10.004
118.505,9.316
122.337,18.225
122.516,17.094
122.252,16.262
121.663,15.931
121.505,15.125
121.729,14.328
122.701,14.337
123.95,13.782
124.181,12.998
123.298,13.028
122.929,13.553
122.035,13.784
121.126,13.637
120.679,14.271
120.07,14.971
119.884,16.364
120.39,17.599
120.716,18.505
121.938,18.219
122.038,11.416
123.12,11.584
122.638,10.741
122.003,10.441
122.038,11.416
125.503,12.163
125.783,11.046
125.012,11.311
125.277,10.359
124.76,10.838
124.303,11.495
124.878,11.794
124.267,12.558
125.227,12.536
-77.353,8.671
-76.086,9.337
-75.665,9.774
-75.48,10.619
-74.907,11.083
-74.197,11.31
-73.415,11.227
-72.628,11.732
-71.754,12.437
-71.137,12.113
-71.36,11.54
-71.621,10.969
-72.074,9.866
-71.696,9.072
-71.04,9.86
-71.401,10.969
-70.155,11.375
-69.943,12.162
-69.584,11.46
-68.233,10.886
-67.296,10.546
-66.228,10.649
-65.655,10.201
-64.89,10.077
-64.329,10.39
-63.079,10.702
-61.881,10.716
-62.73,10.42
-62.389,9.948
-61.589,9.873
-60.831,9.381
-60.671,8.58
-59.758,8.367
-59.102,7.999
-58.483,7.348
-58.078,6.809
-57.542,6.321
-55.949,5.773
-55.033,6.025
-53.958,5.757
-52.882,5.41
-51.823,4.566
-51.3,4.12
-50.509,1.902
-49.947,1.046
-50.699,0.223
-48.621,-0.235
-48.584,-1.238
-47.825,-0.582
-46.567,-0.941
-44.906,-1.552
-44.418,-2.138
-43.419,-2.383
-41.473,-2.912
-39.979,-2.873
-38.5,-3.701
-37.223,-4.821
-36.453,-5.109
-35.598,-5.15
-34.896,-6.738
-34.73,-7.343
-35.128,-8.996
-35.637,-9.649
-37.047,-11.041
-37.684,-12.171
-38.424,-13.038
-38.953,-13.793
-38.882,-15.667
-39.161,-17.208
-39.267,-17.868
-39.761,-19.599
-40.775,-20.905
-40.945,-21.937
-41.754,-22.371
-41.988,-22.97
-43.075,-22.968
-44.648,-23.352
-45.352,-23.797
-46.472,-24.089
-47.649,-24.885
-48.495,-25.877
-48.641,-26.624
-48.662,-28.186
-49.587,-29.224
-50.697,-30.984
-51.576,-31.778
-52.256,-32.245
-52.712,-33.197
-53.374,-33.768
-53.806,-34.397
-54.936,-34.953
-55.674,-34.753
-57.14,-34.43
-58.427,-33.909
-57.226,-35.288
-57.362,-35.977
-56.737,-36.413
-57.749,-38.184
-59.232,-38.72
-61.237,-38.928
-62.336,-38.828
-62.126,-39.424
-62.331,-40.173
-62.746,-41.029
-63.77,-41.167
-64.732,-40.803
-64.979,-42.058
-64.303,-42.359
-63.756,-42.044
-63.458,-42.563
-64.379,-42.874
-65.182,-43.495
-65.329,-44.501
-65.565,-45.037
-66.51,-45.04
-67.294,-45.552
-67.581,-46.302
-66.597,-47.034
-65.641,-47.236
-65.985,-48.133
-67.166,-48.697
-67.816,-49.87
-68.729,-50.264
-69.139,-50.733
-68.816,-51.771
-68.15,-52.35
-69.461,-52.292
-70.845,-52.899
-71.006,-53.833
-72.558,-53.531
-73.703,-52.835
-74.947,-52.263
-77.882,7.224
-77.477,6.691
-77.319,5.845
-77.308,4.668
-77.496,4.088
-77.51,3.325
-77.932,2.697
-78.662,2.267
-78.991,1.691
-79.543,0.983
-80.091,0.768
-80.399,-0.284
-80.583,-0.907
-80.765,-1.965
-80.369,-2.685
-79.987,-2.221
-80.303,-3.405
-81.1,-4.036
-81.411,-4.737
-80.926,-5.691
-81.25,-6.137
-80.537,-6.542
-79.761,-7.194
-79.446,-7.931
-79.037,-8.387
-78.092,-10.378
-77.106,-12.223
-76.259,-13.535
-76.009,-14.649
-75.238,-15.266
-73.445,-16.359
-71.462,-17.363
-70.373,-18.348
-70.164,-19.756
-70.091,-21.393
-70.404,-23.629
-70.725,-25.706
-70.905,-27.64
-71.49,-28.861
-71.37,-30.096
-71.669,-30.921
-71.438,-32.419
-71.862,-33.909
-72.553,-35.509
-73.167,-37.124
-73.506,-38.283
-73.218,-39.259
-73.677,-39.942
-74.018,-41.795
-74.332,-43.225
-73.701,-43.366
-73.389,-42.118
-72.718,-42.383
-73.24,-44.455
-74.352,-44.103
-74.692,-45.764
-75.644,-46.648
-74.127,-46.939
-75.183,-47.712
-75.608,-48.674
-75.48,-50.378
-74.977,-51.043
-75.26,-51.629
-74.947,-52.263
-74.663,-52.837
-73.838,-53.047
-72.434,-53.715
-71.108,-54.074
-70.592,-53.616
-70.267,-52.931
-69.346,-52.518
-68.634,-52.636
-68.25,-53.1
-67.75,-53.85
-66.45,-54.45
-65.05,-54.7
-65.5,-55.2
-66.45,-55.25
-66.96,-54.897
-68.149,-55.612
-69.232,-55.499
-69.958,-55.198
-71.006,-55.054
-72.264,-54.495
-73.285,-53.958
-74.663,-52.837
44.847,80.59
46.799,80.772
48.318,80.784
49.097,80.754
50.04,80.919
51.523,80.7
49.794,80.415
48.894,80.34
47.586,80.01
46.503,80.247
47.072,80.559
44.847,80.59
53.508,73.75
55.902,74.627
57.869,75.609
61.17,76.252
64.498,76.439
66.211,76.81
68.157,76.94
68.852,76.545
68.181,76.234
64.637,75.738
61.584,75.261
58.477,74.309
56.987,73.333
55.419,72.371
55.623,71.541
57.536,70.72
53.677,70.763
51.602,71.475
52.478,72.229
54.428,73.628
53.508,73.75
27.408,80.056
25.925,79.518
23.024,79.4
20.075,79.567
18.462,79.86
17.368,80.319
20.456,80.598
21.908,80.358
22.919,80.657
25.448,80.407
27.408,80.056
24.724,77.854
22.49,77.445
20.726,77.677
21.416,77.935
20.812,78.255
22.884,78.455
23.281,78.08
24.724,77.854
15.143,79.674
16.991,80.051
18.252,79.702
21.544,78.956
19.027,78.563
18.472,77.827
17.594,77.638
17.118,76.809
15.913,76.77
13.763,77.38
14.67,77.736
13.171,78.025
11.222,78.869
10.445,79.652
13.171,80.01
13.719,79.66
15.143,79.674
-77.882,7.224
-78.429,8.052
-78.622,8.718
-79.12,8.996
-79.761,8.585
-80.383,8.298
-80.004,7.548
-80.886,7.221
-81.06,7.818
-81.721,8.109
-82.391,8.292
-83.508,8.447
-83.91,9.291
-84.648,9.616
-84.976,10.087
-85.661,9.933
-85.659,10.754
-86.058,11.403
-86.526,11.807
-87.168,12.458
-87.668,12.91
-88.483,13.164
-89.257,13.459
-90.096,13.735
-91.232,13.928
-92.228,14.539
-93.359,15.615
-93.875,15.94
-94.692,16.201
-96.053,15.752
-97.264,15.917
-98.013,16.107
-98.948,16.566
-99.697,16.706
-100.829,17.171
-101.666,17.649
-102.478,17.976
-103.501,18.292
-103.918,18.749
-104.992,19.316
-105.493,19.947
-105.501,20.817
-105.266,21.422
-105.603,21.871
-106.029,22.774
-106.91,23.768
-107.915,24.549
-108.402,25.172
-109.26,25.581
-109.292,26.443
-110.392,27.162
-110.641,27.86
-111.76,28.468
-112.228,28.954
-112.81,30.021
-113.164,30.787
-113.872,31.568
-114.776,31.8
-114.771,30.914
